Series,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Seasonally adjusted unemployment rate %,5.2,5.1,4.9,5,4.8,4.8,4.7,4.7,4.7,4.5,4.5,4.6,4.6,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.3,4.4,4.3,4.2,4,4.1,4.3,4.3,4.2,4.3,4,4.3,4.3,4.5,4.6,4.9,5.3,5.7,5.5,5.8,5.9,5.7,5.7,5.7,5.6,5.6,5.5,5.3,5.3,5.4,5.5,5.2,5.1,5.3,5,5.1,5.3,5.1,4.9,5,5,4.9,5,5,4.9,5.1,5.3,5.2,5.2,5.2,5.2,5,5.2,5.2,5,5.2,5.2,5.2,5.2,5.5,5.4,5.3,5.4,5.4,5.4,5.6,5.6,5.6,5.7,5.6,5.8,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.8,5.9,6,6.2,6.1,6.2,6.4,6.3,6.1,6.4,6.2,6.1,6.1,5.9,6,6.3,6.1,6.2,5.9,5.9,5.7,6,5.7,5.7,5.6,5.7,5.7,5.7,5.6,5.7,5.6,5.8,5.8,5.7,5.9,5.8,5.6,5.5,5.6,5.6,5.5,5.5,5.4,5.5,5.6,5.5,5.6,5.5,5.5,5.4,5.3,5.3,5.2,5,5,5.1,5,5,5,5.1,5.2,5.2,5.3,5.3,5.3,5.2,5.3,5.2,5,5.2,5.1,5.2,6.3,7,7.4,7.4,6.8,6.9,7,6.8,6.5,6.3,5.8,5.7,5.5,5.1,5,4.7,4.6,4.7,5.2,4.6,4.2,4.2,4,4,3.9,3.9,3.6,3.5,3.5,3.6,3.4,3.5,3.5,3.7,3.6,3.6,3.7,3.6,3.5,3.7,3.7,3.6,3.8,3.9,4,4.1,3.7,3.9,4.1,4,4,4.2,4.1,4,4.1,3.9,4,4.1,4.1,4.1,4.1,4.1,4.3,4.3,4.3,4.5, 
Seasonally adjusted job advertisements,212356,216560,220696,221448,218376,237501,219777,226488,219955,238754,238336,233316,249417,256808,267010,266361,271386,268772,281840,281144,285853,283592,294586,301030,305670,306083,301294,306610,299711,301760,287431,273427,260785,250908,234387,216647,196454,182113,160974,164251,156744,172013,158162,165477,165709,166516,170095,170856,183457,188666,176577,171021,186449,184589,190943,192275,200376,204924,206075,210678,213073,213352,215368,213416,208965,202807,207997,202501,196251,196530,196060,198688,190274,193511,192756,187342,181114,177683,169082,168480,168222,159404,154904,151653,148714,144936,150352,139514,142356,139899,141984,140248,139097,139836,140991,139006,149386,147210,145207,142933,151835,155986,151568,156709,154254,156825,151909,149687,156652,154556,158159,157797,151043,152089,156866,154840,162709,159849,165221,164336,162922,161557,162264,165157,166333,173070,164417,165600,162762,163505,161839,163544,162425,165814,165266,170030,173634,177181,176593,175439,175402,177327,178186,174305,178308,181249,189740,187315,186914,182960,184655,185088,179411,177348,177372,178701,184936,181723,172766,175426,177442,172121,173741,168854,170174,162168,155680,164514,167553,160345,118122,67294,90235,120115,134017,136255,151014,160467,176145,185153,189130,202859,227862,231105,235559,231449,229212,210993,235591,254909,261965,258513,268454,278130,284584,288516,295657,305024,292567,296175,282181,286068,276314,276522,279956,284241,283755,289768,282688,278435,281061,277134,268195,259056,258167,259923,251380,248339,248438,237894,239030,228062,215218,230851,230840,224489,220165,214655,223812,210982,206561,214675,209067,212686,211799,202905,207641,207995
